timestamp,bandwidth_usage_bps,throughput_bps,packet_loss_rate,jitter,avg_delay,active_devices,packets_per_window,network_condition,predictor_source,prediction_confidence,estimated_lost_bytes,reordered_recovered_packets,receiver_overloaded,drain_max_ms,drain_avg_ms,drain_budget_hits,drain_backlog_hits
1778413426.939,24576.0,20224.0,0.22549,55.262587,178.128279,4,102,Critical,heuristic,,1472,54,1,0.202,0.098,0,1
1778413427.189,25088.0,20992.0,0.203883,61.146538,180.950932,4,103,Critical,heuristic,,1344,57,0,0.228,0.087,0,0
1778413427.448,21248.0,20992.0,0.098901,57.64,173.542366,7,91,Critical,heuristic,,576,50,1,0.238,0.076,0,2
1778413427.692,26112.0,22784.0,0.135922,52.210628,178.888241,4,103,Critical,heuristic,,896,63,0,0.225,0.078,0,0
1778413427.941,26880.0,20992.0,0.219048,59.245351,175.273485,4,105,Critical,heuristic,,1472,52,1,0.186,0.076,0,2
1778413428.189,23296.0,20224.0,0.177083,55.144612,177.028955,4,96,Critical,heuristic,,1088,54,0,0.233,0.083,0,0
1778413428.44,26880.0,21760.0,0.26087,46.327829,168.015432,5,115,Critical,heuristic,,1920,57,1,0.191,0.088,0,1
1778413428.69,23552.0,20736.0,0.19,55.629477,176.72205,5,100,Critical,heuristic,,1216,53,0,0.141,0.076,0,0
1778413428.945,22784.0,22016.0,0.094737,47.387428,174.915574,4,95,Critical,heuristic,,576,51,0,0.278,0.082,0,0
1778413429.193,23296.0,21760.0,0.065934,48.254644,179.934061,4,91,Critical,heuristic,,384,57,1,0.274,0.092,0,1
1778413429.444,26368.0,21760.0,0.182692,48.668446,172.60384,6,104,Critical,heuristic,,1216,52,0,0.238,0.076,0,0
1778413429.693,26624.0,21248.0,0.209524,45.624647,189.396439,4,105,Critical,heuristic,,1408,48,0,0.169,0.076,0,0
1778413429.942,25856.0,23552.0,0.089109,58.773842,163.782711,4,101,Critical,heuristic,,576,66,0,0.234,0.08,0,0
1778413430.189,21760.0,22784.0,0.0,44.927653,163.701202,4,89,Critical,heuristic,,0,63,1,0.188,0.077,0,1
1778413430.441,29440.0,23552.0,0.213675,46.262013,154.669653,7,117,Critical,heuristic,,1600,54,0,0.17,0.075,0,0
1778413430.695,24832.0,22272.0,0.194444,46.085802,156.730761,4,108,Critical,heuristic,,1344,55,0,0.172,0.086,0,0
1778413430.94,21760.0,20224.0,0.150538,40.728412,152.945244,4,93,Critical,heuristic,,896,53,0,0.163,0.079,0,0
1778413431.194,26624.0,22784.0,0.144231,56.541743,156.302061,4,104,Critical,heuristic,,960,57,0,0.171,0.086,0,0
1778413431.447,23296.0,21760.0,0.114583,46.995065,151.867336,6,96,Critical,heuristic,,704,55,0,0.218,0.079,0,0
1778413431.69,25088.0,21248.0,0.17,46.092637,159.967454,5,100,Critical,heuristic,,1088,52,0,0.225,0.086,0,0
1778413431.938,24320.0,19968.0,0.204082,58.474159,162.548016,4,98,Critical,heuristic,,1280,55,0,0.212,0.092,0,0
1778413432.191,24576.0,23552.0,0.089109,49.089945,158.588435,4,101,Critical,heuristic,,576,60,1,0.167,0.08,0,1
1778413432.439,25856.0,22272.0,0.147059,41.658177,151.325785,7,102,Critical,heuristic,,960,52,0,0.313,0.097,0,0
1778413432.689,24832.0,22272.0,0.138614,45.95454,162.009187,4,101,Critical,heuristic,,896,57,1,0.331,0.089,0,1
1778413432.941,25344.0,23296.0,0.133333,39.117693,159.494712,4,105,Critical,heuristic,,896,59,0,0.202,0.089,0,0
1778413433.192,24320.0,19712.0,0.245098,48.10214,162.444378,5,102,Critical,heuristic,,1600,51,0,0.266,0.087,0,0
1778413433.441,22784.0,21248.0,0.097826,48.003151,155.890522,6,92,Critical,heuristic,,576,52,1,0.273,0.087,0,1
1778413433.693,25088.0,21760.0,0.158416,51.603617,161.175091,4,101,Critical,heuristic,,1024,56,0,0.167,0.079,0,0
1778413433.94,24064.0,22272.0,0.084211,38.515173,158.413005,4,95,Critical,heuristic,,512,52,1,0.162,0.075,0,1
1778413434.19,26880.0,21504.0,0.2,42.700129,149.980099,4,105,Critical,heuristic,,1344,57,0,0.162,0.079,0,0
1778413434.44,26112.0,23296.0,0.18018,45.455749,149.783179,7,111,Critical,heuristic,,1280,55,0,0.237,0.075,0,0
1778413434.69,24064.0,19712.0,0.23,45.493798,155.968338,4,100,Critical,heuristic,,1472,47,1,0.25,0.075,0,1
1778413434.938,25600.0,23808.0,0.088235,43.434499,146.603928,4,102,Critical,heuristic,,576,55,1,0.189,0.073,0,1
1778413435.191,24320.0,20480.0,0.166667,40.840223,139.427361,4,96,Critical,heuristic,,1024,52,0,0.261,0.082,0,0
1778413435.438,25344.0,24320.0,0.12037,37.719503,138.656594,6,108,Critical,heuristic,,832,52,0,0.152,0.077,0,0
1778413435.69,23808.0,22272.0,0.112245,38.147225,138.883254,4,98,Critical,heuristic,,704,55,1,0.179,0.078,0,1
1778413435.942,25856.0,23296.0,0.133333,42.474246,136.315341,4,105,Critical,heuristic,,896,60,1,0.153,0.075,0,1
1778413436.193,23808.0,22784.0,0.127451,43.671651,134.544472,4,102,Critical,heuristic,,832,59,0,0.244,0.079,0,0
1778413436.439,25344.0,23808.0,0.114286,42.032129,136.3247,6,105,Critical,heuristic,,768,61,1,0.299,0.081,0,1
1778413436.695,24064.0,22016.0,0.113402,45.346679,133.793077,4,97,Critical,heuristic,,704,52,0,0.166,0.077,0,0
1778413436.939,24832.0,21760.0,0.158416,38.942404,137.750511,4,101,Critical,heuristic,,1024,47,1,0.154,0.081,0,1
1778413437.189,24064.0,21504.0,0.115789,46.504884,139.201096,4,95,Critical,heuristic,,704,56,0,0.138,0.076,0,0
1778413437.438,25088.0,21504.0,0.151515,39.527675,140.284748,7,99,Critical,heuristic,,960,44,0,0.367,0.075,0,0
1778413437.69,24576.0,22784.0,0.10101,36.799409,130.925604,4,99,Critical,heuristic,,640,51,1,0.261,0.105,0,1
1778413437.938,26112.0,22528.0,0.192661,44.280326,139.581591,4,109,Critical,heuristic,,1344,58,0,0.205,0.085,0,0
1778413438.189,23552.0,21248.0,0.135417,42.900625,132.149179,4,96,Critical,heuristic,,832,50,0,0.269,0.08,0,0
1778413438.445,26880.0,21760.0,0.247788,39.35999,141.584105,6,113,Critical,heuristic,,1792,49,1,0.281,0.083,0,1
1778413438.693,22272.0,21504.0,0.142857,39.98554,137.751704,4,98,Critical,heuristic,,896,55,1,0.152,0.077,0,1
1778413438.943,26112.0,22784.0,0.160377,38.550781,140.840648,4,106,Critical,heuristic,,1088,51,0,0.317,0.084,0,0
1778413439.192,23040.0,23040.0,0.081633,42.018127,131.72205,5,98,Critical,heuristic,,512,61,0,0.252,0.078,0,0
1778413439.439,23808.0,20736.0,0.138298,40.26257,133.276866,6,94,Critical,heuristic,,832,46,0,0.202,0.086,0,0
1778413439.688,29952.0,24576.0,0.186441,48.617261,139.780184,4,118,Critical,heuristic,,1408,54,0,0.203,0.074,0,0
1778413439.942,22272.0,22784.0,0.10101,38.994406,128.011894,4,99,Critical,heuristic,,640,56,0,0.254,0.075,0,0
1778413440.188,23808.0,20736.0,0.129032,35.565058,112.616804,5,93,Critical,heuristic,,768,46,1,0.185,0.07,0,1
1778413440.438,24832.0,22016.0,0.131313,35.585462,116.882086,6,99,Critical,heuristic,,832,48,1,0.618,0.096,0,1
1778413440.693,26368.0,22784.0,0.152381,29.928371,113.57585,4,105,Critical,heuristic,,1024,45,1,0.18,0.083,0,1
